timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
7869,-1.047,0.532,0.867,-50.869,-29.236,40.137
7953,-1.073,0.547,0.840,-32.009,-6.409,44.349
7985,-1.115,0.557,0.755,-43.362,-3.174,56.861
8017,-0.953,0.528,0.790,-46.108,-6.653,64.307
8049,-0.962,0.550,0.710,-46.169,-9.400,41.114
8081,-0.910,0.497,0.874,-68.264,-24.598,36.841
8113,-0.899,0.501,0.872,-44.155,-33.265,15.418
8145,-0.937,0.519,0.807,-48.916,-28.382,4.676
8224,-0.876,0.490,0.902,-41.287,-66.041,-10.766
8256,-0.867,0.468,0.953,-53.250,-63.599,-11.620
8288,-0.804,0.431,0.992,-43.179,-84.046,-22.668
8320,-0.847,0.441,0.990,-45.254,-69.031,-20.837
8352,-0.712,0.382,1.058,-35.977,-57.374,-24.377
8384,-0.704,0.354,0.996,-42.385,-70.679,-35.302
8416,-0.624,0.290,1.043,-54.714,-67.689,-55.016
8496,-0.671,0.203,1.119,-35.427,-11.658,-58.557
8528,-0.711,0.198,1.079,-33.840,-34.424,-68.688
8560,-0.588,0.143,1.128,-29.263,-17.335,-71.130
8592,-0.657,0.139,1.100,-27.432,-23.987,-74.670
8624,-0.667,0.117,1.143,-16.384,-16.053,-57.641
8656,-0.562,0.088,1.085,-3.628,-18.006,-55.261
8737,-0.572,0.091,1.194,4.124,-9.095,-46.166
8769,-0.524,0.100,1.119,20.969,-2.137,-40.734
8801,-0.522,0.112,1.132,20.176,-0.611,-40.551
8833,-0.543,0.125,1.134,26.157,-9.461,-40.307
8865,-0.536,0.138,1.114,31.406,-7.508,-38.476
8897,-0.518,0.143,1.134,34.580,18.127,-28.893
8929,-0.471,0.160,1.134,45.505,29.907,-29.626
9021,-0.506,0.235,1.075,64.243,51.452,-30.969
9053,-0.547,0.284,0.972,63.267,38.696,-38.476
9085,-0.563,0.293,1.031,48.435,30.822,-39.147
9117,-0.613,0.346,0.980,50.815,38.940,-45.251
9149,-0.559,0.323,1.033,24.204,40.954,-40.978
9181,-0.424,0.313,1.147,54.417,30.883,-87.304
9214,-0.508,0.415,1.301,72.239,30.395,-105.004
9292,-2.453,0.745,0.347,4.185,-97.169,-8.752
9324,-2.338,0.355,0.493,-61.306,-133.118,260.413
9356,-0.578,-0.399,0.625,-132.778,-102.906,488.685
9388,1.028,-0.666,1.251,-140.103,-100.526,412.879
9420,0.835,-0.563,1.684,-82.302,-102.234,221.046
9452,1.055,-0.831,1.676,1.011,-11.536,105.323
9535,0.539,-1.143,-0.833,467.197,-7.569,-604.455
9567,-2.406,-0.355,-0.397,-122.219,-40.650,-653.405
9599,-4.645,0.033,1.754,-145.657,120.727,-274.499
9632,-1.003,0.357,0.536,23.228,17.516,79.749
9664,-0.964,0.557,0.978,-38.052,-29.236,37.574
9696,-0.390,0.488,1.467,-39.700,5.432,79.749
9728,-0.413,0.463,1.342,8.640,-20.814,49.781
9802,-0.428,0.397,1.222,16.086,16.296,30.677
9834,-0.342,0.419,1.040,19.443,8.422,19.202
